Alpha,Cm
0.25,1.0
-3.006,0.0025
-2.012,0.0019
-0.998,0.0019
0.0,0.0021
1.004,0.002
2.008,0.0017
3.012,0.0018
3.514,0.0019
4.011,0.0021
4.011,0.0022
4.513,0.003
5.02,0.0047
5.522,0.0067
6.023,0.008
6.525,0.0093
6.525,0.0092
7.027,0.0108
7.534,0.0118
7.534,0.0118
8.03,0.0137
8.532,0.015
8.532,0.0149
9.034,0.0148
9.536,0.0163
10.037,0.0192
10.539,0.0215
11.04,0.024
11.536,0.0262
12.041,0.0275
12.537,0.0277
12.537,0.0272
13.042,0.0262
14.041,0.0209
15.034,0.01
15.537,0.0015
16.018,-0.0594
16.011,-0.0744
16.506,-0.0692
17.006,-0.0576
17.516,-0.057
18.016,-0.0573
17.511,-0.0563
17.011,-0.0613
16.511,-0.0796
16.011,-0.0853
15.512,-0.0899
15.012,-0.0876
14.522,-0.073
14.028,-0.059
13.531,-0.0027
13.042,0.0272
13.042,0.027
